statement,intent_code
I left my earbuds on the table. I need this resolved. Reference R482345. Branch: Hyderabad downtown.,LOST_AND_FOUND
"Hello, i had a bad experience with the staff. I need assistance.",STAFF_COMPLAINT
"Good evening, i entered FOOD15, but the total did not change. This happened 30 minutes ago.",PROMO_CODE_ISSUE
Please help. do you deliver catering orders? Thank you. Branch: Chandler mall.,CATERING_INQUIRY
Can someone help me? this question is not about food or restaurants. What should I do?,OUT_OF_SCOPE
"Hey, the app says delivered, but I did not receive order R657600. I tried from the app. Reference R411725.",ORDER_NOT_RECEIVED
"Hi, i tried to pay, but the transaction failed. What should I do?",PAYMENT_FAILED
Please help. the automated response is not enough for my reservation. Please respond soon.,HUMAN_AGENT_REQUEST
Quick question: i got sick after eating the food from order R401015. I need assistance.,FOOD_SAFETY_ISSUE
Please help. the offer shown in the app is not working. Thank you. Reference R950622.,PROMO_CODE_ISSUE
Urgent: can you update my table booking? Please help.,RESERVATION_MODIFY
I want to cancel my table booking for today at 7 PM. I tried from the app.,RESERVATION_CANCEL
There was possible contamination in the food package. Reference R529308. Branch: Toronto south side. I am asking in a upset way.,FOOD_SAFETY_ISSUE
Quick question: please remove my reservation for 5 people. I tried from the app.,RESERVATION_CANCEL
"Hey, i need a table reservation for next Sunday. I need this resolved.",RESERVATION_CREATE
It has been more than an hour and my food is not delivered. This happened yesterday.,ORDER_DELAYED
"Hi, my food was tasteless and not fresh. Can this be fixed?",FOOD_QUALITY_ISSUE
I need support. i see double billing for my food order. I need this resolved.,DOUBLE_CHARGED
I need support. can you help me with hotel room booking? I need assistance. Reference R476263.,OUT_OF_SCOPE
"Hey, i left my jacket on the table. I tried from the app.",LOST_AND_FOUND
Please help. i lost my laptop bag at your restaurant. What should I do?,LOST_AND_FOUND
"Good evening, please make a dinner reservation for 12. Please respond soon. Reference R548016.",RESERVATION_CREATE
Urgent: i need to change my reservation time to at lunch time. Please help. Reference R735836. Branch: Scottsdale takeout.,RESERVATION_MODIFY
"Hey, do you have spicy food options? Thank you.",MENU_INQUIRY
"Good evening, can you help with my insurance claim? Please respond soon.",OUT_OF_SCOPE
I need support. please check why my order is late. I need assistance.,ORDER_DELAYED
"Hello, can you provide catering for an office lunch? This happened 30 minutes ago.",CATERING_INQUIRY
"Good evening, can you fix a wrong item issue for order R367190? Thank you.",WRONG_ITEM
I need help recovering a lost item. This happened two hours ago. Reference R656677.,LOST_AND_FOUND
Can someone help me? can you help me with a failed payment? I need this resolved.,PAYMENT_FAILED
"Good evening, do you have spicy food options? I need this resolved. Reference R823924. Branch: Chandler central. I am asking in a upset way.",MENU_INQUIRY
I booked a table but need to change the time. Can this be fixed?,RESERVATION_MODIFY
Urgent: i was charged twice for order R606218. This happened last night.,DOUBLE_CHARGED
"Good evening, my wallet was debited twice for one food order. Can this be fixed?",DOUBLE_CHARGED
Urgent: i placed order R240669 through the mobile app. What is the current status? This is frustrating.,ORDER_STATUS
Please escalate this to a human support person. I tried from the app.,HUMAN_AGENT_REQUEST
"Hi, i paid for order R688387, but it was not delivered to me. I need this resolved. Branch: Phoenix north side.",ORDER_NOT_RECEIVED
Can someone help me? i want to schedule a dine-in reservation. I tried from the app.,RESERVATION_CREATE
Please help. i visited yesterday and lost my watch. I need assistance.,LOST_AND_FOUND
"Good evening, the burger I received was soggy. I need assistance.",FOOD_QUALITY_ISSUE
"Hi, what are your opening hours? Please respond soon.",GENERAL_INQUIRY
Quick question: i never got my food order R278460. This is frustrating.,ORDER_NOT_RECEIVED
"Good evening, the coupon is not applying at checkout. This is frustrating. Reference R244658. Branch: Mesa south side.",PROMO_CODE_ISSUE
Please help. please confirm my reservation cancellation. This happened last night. Branch: Hyderabad drive-thru.,RESERVATION_CANCEL
"Hello, i ordered sandwich with main course, but the main course is missing. Please respond soon.",MISSING_ITEM
The pickup counter was messy. I need this resolved.,CLEANLINESS_COMPLAINT
"Good evening, the payment page gave an error. Please help. Reference R309630. Branch: Bangalore main street.",PAYMENT_FAILED
"Good evening, please let me chat with an agent instead of the bot.",HUMAN_AGENT_REQUEST
Please help. the dining area had trash on the floor. Can this be fixed? I am asking in a polite way.,CLEANLINESS_COMPLAINT
Urgent: i received the main food but not the salad. What should I do? Reference R709716.,MISSING_ITEM
"Good evening, i need to change my reservation time to Saturday afternoon. Please respond soon. I am asking in a frustrated way.",RESERVATION_MODIFY
I need support. i want to reserve seats for my family. This is frustrating. Branch: Dubai downtown.,RESERVATION_CREATE
Urgent: my card shows two charges for the same order. Please respond soon.,DOUBLE_CHARGED
"Hello, do you have milkshake on the menu? Can this be fixed?",MENU_INQUIRY
"Hello, please fix my loyalty points issue. I tried from the app.",LOYALTY_POINTS_ISSUE
Can someone help me? i want to complain about staff behavior at Scottsdale. Thank you.,STAFF_COMPLAINT
"Hey, can you help me with laptop repair? Can you check? Reference R477171.",OUT_OF_SCOPE
Can someone help me? my food was tasteless and not fresh. Please respond soon.,FOOD_QUALITY_ISSUE
"Hi, can you update my table booking? This is frustrating. I am asking in a polite way.",RESERVATION_MODIFY
"Hey, can you prepare food trays for an event? I need this resolved.",CATERING_INQUIRY
"Hello, payment is not processing for my restaurant order. I need assistance.",PAYMENT_FAILED
Quick question: the points from my last order were not added. This happened two hours ago.,LOYALTY_POINTS_ISSUE
There are two transactions for order R719994. Thank you.,DOUBLE_CHARGED
"Hello, do you take bulk food orders? I need this resolved.",CATERING_INQUIRY
Can someone help me? can you help me with a missing item in food order R508952? This happened two hours ago. Branch: London central.,MISSING_ITEM
Can someone help me? the wrap I received was greasy. I need this resolved. Reference R898332.,FOOD_QUALITY_ISSUE
"Hey, what time do you open today? What should I do? Reference R145697. Branch: Dubai food court.",GENERAL_INQUIRY
"Hello, i was charged twice for order R120767. Reference R563410.",DOUBLE_CHARGED
"Good evening, the restaurant looked unhygienic. This is frustrating.",CLEANLINESS_COMPLAINT
Please help. what is the most popular dish at the Scottsdale branch? Thank you. Reference R716900.,MENU_INQUIRY
"Good evening, can the kitchen avoid dairy in my meal? What should I do?",ALLERGY_INQUIRY
"I used the app, but no rewards points were credited. This happened yesterday. Reference R684015.",LOYALTY_POINTS_ISSUE
"Good evening, does the pizza contain tree nuts? This happened 30 minutes ago. Reference R904647.",ALLERGY_INQUIRY
"Good evening, move my booking to after 6 PM. This is frustrating.",RESERVATION_MODIFY
Urgent: the app says my promo code is invalid. I need this resolved.,PROMO_CODE_ISSUE
"Hey, please escalate this food safety complaint immediately. Thank you.",FOOD_SAFETY_ISSUE
Order R713079 has been stuck in preparation since this afternoon. This happened two hours ago.,ORDER_DELAYED
"Quick question: i was trying to pay with wallet, but it failed. Thank you.",PAYMENT_FAILED
"Good evening, the restaurant forgot to pack my side dish. Please respond soon.",MISSING_ITEM
Urgent: the delivery time has passed and my food is still not here. Thank you. Branch: Mesa drive-thru.,ORDER_DELAYED
I need support. cancel my reservation at the Chicago branch. Please help. Branch: Chandler food court. I am asking in a upset way.,RESERVATION_CANCEL
Urgent: can I update the name on my reservation to Aisha? Please help. Reference R525817.,RESERVATION_MODIFY
Can someone help me? can you help with my insurance claim? Thank you.,OUT_OF_SCOPE
"Hi, my order R671930 arrived with poor food quality. This happened today.",FOOD_QUALITY_ISSUE
"Good evening, the cashier was rude to me. Please help.",STAFF_COMPLAINT
Urgent: i visited yesterday and lost my backpack. What should I do? Reference R286618.,LOST_AND_FOUND
I think my jacket is still at the front desk. This is frustrating.,LOST_AND_FOUND
"Hello, the shawarma I received was dry. Reference R322650.",FOOD_QUALITY_ISSUE
Urgent: the meal quality was bad. I tried from the app. I am asking in a calm way.,FOOD_QUALITY_ISSUE
Urgent: i have a egg allergy. What can I safely order? I need this resolved.,ALLERGY_INQUIRY
Can someone help me? the coupon is not applying at checkout. I need this resolved.,PROMO_CODE_ISSUE
"Hey, can I update the name on my reservation to Nina? I need this resolved.",RESERVATION_MODIFY
Urgent: can you make my reservation for more guests? I need this resolved.,RESERVATION_MODIFY
"Hi, i lost my jacket at your restaurant.",LOST_AND_FOUND
Quick question: the front desk staff was rude to me. Can you check?,STAFF_COMPLAINT
"Hello, my order from the New York central branch is running late. This is frustrating. Branch: Chandler airport.",ORDER_DELAYED
Quick question: i want to report rude behavior from the pickup counter employee. I tried from the app. Reference R885762.,STAFF_COMPLAINT
Please help. track my food order R464407 from Chandler. This happened 30 minutes ago.,ORDER_STATUS
Please help. my order was not confirmed because payment failed. Please help. Branch: Austin mall.,PAYMENT_FAILED
Quick question: i forgot my laptop bag after dining. What should I do?,LOST_AND_FOUND
Our table was sticky and dirty. This happened today. I am asking in a polite way.,CLEANLINESS_COMPLAINT
Can someone help me? part of my order is missing from the bag. Please help.,MISSING_ITEM
"Hi, our table was sticky and dirty. Please respond soon.",CLEANLINESS_COMPLAINT
"Hi, my restaurant rewards balance is incorrect. Thank you. Reference R702664.",LOYALTY_POINTS_ISSUE
"Hi, cancel my dine-in booking. Thank you. Branch: Austin main street. I am asking in a confused way.",RESERVATION_CANCEL
Urgent: are you open on holidays? What should I do? Branch: London main street.,GENERAL_INQUIRY
Quick question: is your food prepared without tree nuts? What should I do? Reference R220541. Branch: Dallas central.,ALLERGY_INQUIRY
"Quick question: i tried to pay, but the transaction failed.",PAYMENT_FAILED
Can someone help me? can I update the name on my reservation to Sneha? Branch: Chandler takeout. I am asking in a frustrated way.,RESERVATION_MODIFY
Please help. my order R796077 is taking too long. Thank you. Branch: Austin mall.,ORDER_DELAYED
Quick question: my order R201301 is taking too long. Can this be fixed?,ORDER_DELAYED
"Hello, i want to complain about staff behavior at Austin. Thank you.",STAFF_COMPLAINT
"Hi, can I order directly from your website? I need this resolved.",GENERAL_INQUIRY
"Hello, i do not want chatbot help because I want a supervisor. This is frustrating. Reference R726182.",HUMAN_AGENT_REQUEST
Urgent: the restaurant payment went through twice. This happened this morning. Reference R866980.,DOUBLE_CHARGED
Please help. my restaurant rewards balance is incorrect. Can you check? I am asking in a urgent way.,LOYALTY_POINTS_ISSUE
Please help. can you tell me if order R908216 is ready for pickup? Can this be fixed?,ORDER_STATUS
"Good evening, i booked a table but need to change the time.",RESERVATION_MODIFY
My order has an incorrect item. Please help. I am asking in a calm way.,WRONG_ITEM
Can someone help me? can someone check if my keys was turned in? Please help.,LOST_AND_FOUND
Urgent: my food never showed up even though the app says delivered. Can you check? Reference R805357. Branch: Mesa main street.,ORDER_NOT_RECEIVED
Can you tell me if order R338190 is ready for pickup? Can this be fixed?,ORDER_STATUS
"Hello, book a table under the name Sneha. Please help.",RESERVATION_CREATE
I want to apply for a passport. I tried from the app.,OUT_OF_SCOPE
I need support. can you show me the menu? What should I do? Reference R311802.,MENU_INQUIRY
Quick question: my order R271104 arrived with poor food quality. I tried from the app.,FOOD_QUALITY_ISSUE
"Hey, the Bangalore branch was not clean. Thank you. Reference R825301.",CLEANLINESS_COMPLAINT
"Good evening, the sushi tasted old and greasy. Thank you. Reference R464936.",FOOD_QUALITY_ISSUE
Please help. i got a different dish instead of sandwich. Thank you.,WRONG_ITEM
Urgent: the rice bowl tasted old and burnt. I need this resolved.,FOOD_QUALITY_ISSUE
"Hey, can you check my loyalty account? Thank you. I am asking in a upset way.",LOYALTY_POINTS_ISSUE
"Hello, my promo code FREEDRINK is not working. This happened this morning.",PROMO_CODE_ISSUE
I need support. i see double billing for my food order. Please respond soon. Reference R394217. I am asking in a urgent way.,DOUBLE_CHARGED
"Hi, i have a cashews allergy. What can I safely order? Can this be fixed? Reference R372845. I am asking in a calm way.",ALLERGY_INQUIRY
Quick question: can I order directly from your website? I need assistance.,GENERAL_INQUIRY
"Hi, the automated response is not enough for my food complaint. This happened this morning.",HUMAN_AGENT_REQUEST
"Hello, can you help me apply the promo code? I need assistance. Reference R340831.",PROMO_CODE_ISSUE
"Hello, the UPI payment was deducted twice. Please help. Reference R905747.",DOUBLE_CHARGED
Please help. can you check lost and found for my earbuds? I tried from the app. Reference R860332.,LOST_AND_FOUND
I need support. please escalate this food safety complaint immediately. What should I do? Reference R821186. I am asking in a confused way.,FOOD_SAFETY_ISSUE
"Hi, what stage is my order R706965 in? Thank you. Branch: Tempe south side.",ORDER_STATUS
"Good evening, i did not receive the dip I paid for. Reference R180535.",MISSING_ITEM
Can someone help me? can you reserve a table at the Phoenix branch? Can this be fixed? Reference R281859.,RESERVATION_CREATE
"Hey, my food order R156430 is taking too long. This happened this afternoon. Reference R937174.",ORDER_DELAYED
Quick question: the rice bowl was too burnt to eat. What should I do?,FOOD_QUALITY_ISSUE
Can you tell me the allergens in salad? Please respond soon.,ALLERGY_INQUIRY
Please help. the delivery time has passed and my food is still not here. This is frustrating.,ORDER_DELAYED
"I need support. i entered WELCOME20, but the total did not change. This is frustrating. Branch: Scottsdale airport.",PROMO_CODE_ISSUE
Please help. my card shows two charges for the same food order. I tried from the app. Reference R604249.,DOUBLE_CHARGED
"Hi, i received the main food but not the cutlery. This happened two hours ago. I am asking in a urgent way.",MISSING_ITEM
"Hello, i need to edit my dinner reservation. I need assistance. Reference R527125. Branch: Scottsdale drive-thru.",RESERVATION_MODIFY
"Hello, the dessert was not included in my order. Can you check?",MISSING_ITEM
Please help. i want to report rude behavior from the barista. I tried from the app.,STAFF_COMPLAINT
"Good evening, how can I contact the Dubai restaurant? I need this resolved. Reference R132569.",GENERAL_INQUIRY
Urgent: please modify my reservation for 30 people. This happened this afternoon. Reference R843902.,RESERVATION_MODIFY
"Good evening, please remove my reservation for 10 people. Reference R607085.",RESERVATION_CANCEL
"Good evening, please create a reservation for around 8 PM at Chicago. I need assistance. Reference R743537.",RESERVATION_CREATE
"Good evening, can you repair my phone? I need assistance.",OUT_OF_SCOPE
I need support. is your food prepared without soy? What should I do?,ALLERGY_INQUIRY
I need support. the food was not cooked properly. This is frustrating. I am asking in a confused way.,FOOD_QUALITY_ISSUE
I need support. please route me to a customer service agent by phone. Can you check?,HUMAN_AGENT_REQUEST
Urgent: is your food prepared without peanuts? I need this resolved. Reference R264816.,ALLERGY_INQUIRY
"Hey, i want to book a table for 3 people tonight. What should I do? Branch: Toronto north side.",RESERVATION_CREATE
"Can someone help me? i cannot come tonight, so cancel my table. Thank you. Reference R937138.",RESERVATION_CANCEL
Can you make my reservation for more guests? Can you check? Reference R865908.,RESERVATION_MODIFY
"Hey, can you check the status of restaurant order R911331? I need assistance.",ORDER_STATUS
"Hello, i need a real person to handle this store issue. This happened this afternoon.",HUMAN_AGENT_REQUEST
Please help. can you repair my phone? This happened yesterday.,OUT_OF_SCOPE
Urgent: please book my flight ticket. What should I do? I am asking in a confused way.,OUT_OF_SCOPE
Quick question: the sauce was not included in my food order. I need this resolved.,MISSING_ITEM
"Hello, the pasta tasted old and too salty.",FOOD_QUALITY_ISSUE
"Hey, i want to book a table for 8 people this evening. I need assistance.",RESERVATION_CREATE
"Hey, i think my charger is still at the front desk. Can this be fixed?",LOST_AND_FOUND
"Hi, my food never showed up even though the app says delivered. This is frustrating. Reference R415418.",ORDER_NOT_RECEIVED
I need support. the wallet payment did not go through. Can you check? I am asking in a upset way.,PAYMENT_FAILED
Can someone help me? can you help me with a failed payment? What should I do? I am asking in a confused way.,PAYMENT_FAILED
Please help. do you take bulk food orders? This is frustrating. Reference R718097.,CATERING_INQUIRY
I need support. i received the main food but not the main course. Can you check? Branch: Phoenix takeout.,MISSING_ITEM
Please confirm my reservation cancellation. Can this be fixed?,RESERVATION_CANCEL
"Good evening, i ordered pizza, but I got something else. Thank you.",WRONG_ITEM
Quick question: i found something dangerous inside my meal. This happened last night.,FOOD_SAFETY_ISSUE
"Hey, the driver completed the order, but I have no food. Can you check? Reference R717240.",ORDER_NOT_RECEIVED
What are your vegetarian menu options? I need assistance.,MENU_INQUIRY
Quick question: i need to edit my dinner reservation. Thank you. I am asking in a confused way.,RESERVATION_MODIFY
"Hey, the shawarma was too burnt to eat. This is frustrating. Branch: Chicago mall.",FOOD_QUALITY_ISSUE
"Hey, this question is not about food or branchs. I need assistance.",OUT_OF_SCOPE
Can someone help me? please check why my order is late. This is frustrating. Reference R628894.,ORDER_DELAYED
Can someone help me? is there cross-contamination with wheat? I need assistance.,ALLERGY_INQUIRY
Please help. i think the food from the Scottsdale branch was contaminated. This is frustrating. Branch: London main street. I am asking in a confused way.,FOOD_SAFETY_ISSUE
"Hi, please tell me the price of wrap. What should I do?",MENU_INQUIRY
I want to reserve seats for my family. I need assistance. Reference R202426.,RESERVATION_CREATE
Urgent: the meal was cold and tasted stale. This happened last night. Branch: Tempe main street.,FOOD_QUALITY_ISSUE
"Good evening, the food was not cooked properly. Please help. Reference R495776.",FOOD_QUALITY_ISSUE
"Hi, there was metal piece in the food package. I need this resolved. Branch: Chicago south side.",FOOD_SAFETY_ISSUE
"Hey, the front desk person was very impolite. Can you check? Reference R680005.",STAFF_COMPLAINT
"Hi, can you prepare food trays for an event? I need assistance. Reference R693875.",CATERING_INQUIRY
Urgent: what dishes are safe for someone allergic to wheat? Please help.,ALLERGY_INQUIRY
"Hey, the PayPal transaction did not go through. I tried from the app.",PAYMENT_FAILED
Urgent: i want to order food for a party. Thank you. Reference R970778.,CATERING_INQUIRY
