example_id,statement,intent_code,intent_meaning,department,split,urgency,sentiment,channel,language,has_order_context,wording_style,synthetic_source,created_date
REST_INTENT_000016,Need help now: The sauce smelled expired. please fix this,FOOD_SAFETY_ISSUE,"Hair, illness, allergy, contamination",Food Safety,validation,high,negative,counter,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000017,I need help. I cannot find my delivered order anywhere. today!,ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,train,high,negative,email,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000018,"Quick question, This is not about food, but I need insurance help. if possible?",OUT_OF_SCOPE,Not related to restaurant,No ticket / fallback,test,low,neutral,counter,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000019,You forgot the greek salad in my ordr. please help!,MISSING_ITEM,Item missing from order,Kitchen / Takeout,train,medium,negative,mobile_app,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000020,"Hey, Order R797037 has been delayed for too long. asap",ORDER_DELAYED,Order is late,Delivery / Kitchen,test,medium,negative,mobile_app,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000021,check my reward points for order R405679.,LOYALTY_POINTS_ISSUE,Rewards points missing,Loyalty,train,low,negative,mobile_app,en,true,short,template_slot_generation_v1,2026-06-14
REST_INTENT_000022,Can you help me? The promotion should apply to my caesar salad order. right now,PROMO_CODE_ISSUE,Coupon/promo not working,Promotions,train,low,negative,chatbot,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000023,Can you help me? I had a bad experience with the resturant staff. please help,STAFF_COMPLAINT,Complaint about staff behavior,Store Manager,train,medium,negative,email,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000024,URGENT: Why is my restaurant coupon invalid? ASAP!,PROMO_CODE_ISSUE,Coupon/promo not working,Promotions,test,low,negative,website,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000025,"Hi, The manager did not handle my concern properly. right now.",STAFF_COMPLAINT,Complaint about staff behavior,Store Manager,train,medium,negative,email,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000026,I need help. I paid once but see two transactions. please!,DOUBLE_CHARGED,Customer charged twice,Payments,validation,high,negative,chatbot,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000027,Can you help me? Can you add two more people to my booking? thanks?,RESERVATION_MODIFY,Change booking,Reservations,train,low,neutral,email,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000028,I need help. The manager did not handle my concern properly. thanks!,STAFF_COMPLAINT,Complaint about staff behavior,Store Manager,train,medium,negative,phone,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000029,"Hey, I want to report a cleanliness issue. please?",CLEANLINESS_COMPLAINT,Dirty table/restroom/restaurant,Cleaning / Store Manager,train,medium,negative,email,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000030,I want to book a table for 4 people next Sunday.,RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,mobile_app,en,false,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000031,"Quick question, Can you schedule my doctor appointment? please help?",OUT_OF_SCOPE,Not related to restaurant,No ticket / fallback,test,low,neutral,email,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000032,I need help. Do you have Wi-Fi for customers? asap,GENERAL_INQUIRY,General question,Customer Support,train,low,neutral,mobile_app,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000033,Please have a manager call me. please,HUMAN_AGENT_REQUEST,Wants human support,Customer Support,train,medium,negative,counter,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000034,Need help now: The meal did not taste fresh at all. ASAP?,FOOD_QUALITY_ISSUE,"Cold, stale, burnt, raw food",Food Quality,train,low,negative,counter,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000035,I want a refund for order R129116.,REFUND_REQUEST,Customer wants refund,Refunds,train,medium,negative,website,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000036,"Hi, I need to pick up my lost laptop bag.",LOST_AND_FOUND,Customer lost item,Front Desk,test,medium,negative,counter,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000037,Need help now: I need to pick up my lost umbrella. ASAP.,LOST_AND_FOUND,Customer lost item,Front Desk,train,medium,negative,website,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000038,"Please help, The BOGO offer is not showing on my ordr.",PROMO_CODE_ISSUE,Coupon/promo not working,Promotions,train,low,negative,mobile_app,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000039,"Hey, Please reserve seats for 3 at next week. thanks!",RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,counter,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000040,"This is urgent, Book a reservation under Taylor.",RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,email,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000041,Need help now: I no longer need the table tonight. please fix this!,RESERVATION_CANCEL,Cancel booking,Reservations,train,low,neutral,phone,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000042,URGENT: I need the second charge reversed. ASAP?,DOUBLE_CHARGED,Customer charged twice,Payments,validation,high,negative,email,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000043,Need help now: What is the weather tomorrow? ASAP.,OUT_OF_SCOPE,Not related to restaurant,No ticket / fallback,train,low,neutral,mobile_app,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000044,"Hi, Track my order R114097 from the Chandler location. please help?",ORDER_STATUS,Customer wants order status,Customer Support,train,low,neutral,mobile_app,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000045,There may be a contamination issue with order R557706.,FOOD_SAFETY_ISSUE,"Hair, illness, allergy, contamination",Food Safety,train,high,negative,chatbot,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000046,Need help now: The driver did not hand over my garlic bread.,ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,train,high,negative,chatbot,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000047,"This is urgent, The employee at the counter was unprofessional. ASAP",STAFF_COMPLAINT,Complaint about staff behavior,Store Manager,train,medium,negative,mobile_app,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000048,Do you have garlic bread on the menu?,MENU_INQUIRY,Ask about menu,Menu,train,low,neutral,website,en,false,short,template_slot_generation_v1,2026-06-14
REST_INTENT_000049,"Hey, I had an allergic reaction after eating this order. if possible!",FOOD_SAFETY_ISSUE,"Hair, illness, allergy, contamination",Food Safety,train,high,negative,chatbot,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000050,Order R117611 has incorrect food.,WRONG_ITEM,Wrong food/item received,Kitchen,train,medium,negative,email,en,true,short,template_slot_generation_v1,2026-06-14
REST_INTENT_000051,"Quick question, I cannot use my discount code. asap?",PROMO_CODE_ISSUE,Coupon/promo not working,Promotions,train,low,negative,chatbot,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000052,Book a reservation under Priya.,RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,email,en,false,short,template_slot_generation_v1,2026-06-14
REST_INTENT_000053,The coupon is not applying at checkout. please help,PROMO_CODE_ISSUE,Coupon/promo not working,Promotions,train,low,negative,chatbot,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000054,Need help now: I need to change the date for my table booking. ASAP,RESERVATION_MODIFY,Change booking,Reservations,train,low,neutral,website,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000055,I visited before lunch and lost my laptop bag.,LOST_AND_FOUND,Customer lost item,Front Desk,train,medium,negative,phone,en,false,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000056,I waited over an hour for ordr R101449. today?,ORDER_DELAYED,Order is late,Delivery / Kitchen,train,medium,negative,chatbot,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000057,URGENT: Is breakfast available at Tempe store? please fix this!,MENU_INQUIRY,Ask about menu,Menu,train,low,neutral,counter,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000058,URGENT: Checkout is stuck after payment. ASAP!,PAYMENT_FAILED,Payment failed,Payments,train,medium,negative,email,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000059,"Hey, The toppings are wrong on my sushi roll. thanks",WRONG_ITEM,Wrong food/item received,Kitchen,train,medium,negative,phone,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000060,URGENT: Payment keeps failing on the checkout page. ASAP!,PAYMENT_FAILED,Payment failed,Payments,train,medium,negative,website,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000061,"Hey, I booked for dinner but need to shift it later. today!",RESERVATION_MODIFY,Change booking,Reservations,train,low,neutral,counter,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000062,Need help now: Can you update my booking from 5 to 6 people? please fix this,RESERVATION_MODIFY,Change booking,Reservations,train,low,neutral,mobile_app,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000063,Can you help me? Please make a dinner reservation for 5. thanks!,RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,mobile_app,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000064,I visited yesterday and lost my phone.,LOST_AND_FOUND,Customer lost item,Front Desk,train,medium,negative,chatbot,en,false,uppercase,template_slot_generation_v1,2026-06-14
REST_INTENT_000065,Where is my order R894244?,ORDER_STATUS,Customer wants order status,Customer Support,validation,low,neutral,mobile_app,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000066,tell me the price of steak?,MENU_INQUIRY,Ask about menu,Menu,train,low,neutral,mobile_app,en,false,short,template_slot_generation_v1,2026-06-14
REST_INTENT_000067,URGENT: Can you send me the dinner menu? please fix this!,MENU_INQUIRY,Ask about menu,Menu,train,low,neutral,email,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000068,"This is urgent, What is the weather tomorrow? ASAP.",OUT_OF_SCOPE,Not related to restaurant,No ticket / fallback,train,low,neutral,website,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000069,URGENT: My kids meal was not cooked properly. please fix this.,FOOD_QUALITY_ISSUE,"Cold, stale, burnt, raw food",Food Quality,train,low,negative,mobile_app,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000070,There was trash around the dining area. if possible,CLEANLINESS_COMPLAINT,Dirty table/restroom/restaurant,Cleaning / Store Manager,train,medium,negative,chatbot,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000071,I need help. The food quality from Phoenix outlet was unacceptable. if possible,FOOD_QUALITY_ISSUE,"Cold, stale, burnt, raw food",Food Quality,validation,low,negative,phone,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000072,"Quick question, The restaurant says it was sent, but I have not received it. please.",ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,train,high,negative,website,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000073,"Hello, Can I speak with a real person? please help?",HUMAN_AGENT_REQUEST,Wants human support,Customer Support,train,medium,negative,counter,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000074,"Quick question, I paid for food but did not receive it. please help",ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,test,high,negative,website,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000075,I never got my food from order R101380.,ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,test,high,negative,mobile_app,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000076,"Quick question, Can you tell me the price of spring rolls?",MENU_INQUIRY,Ask about menu,Menu,train,low,neutral,phone,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000077,Need help now: Please modify my table reservation under Daniel. please fix this?,RESERVATION_MODIFY,Change booking,Reservations,train,low,neutral,email,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000078,"I paid for fries, but it was not in the package.",MISSING_ITEM,Item missing from order,Kitchen / Takeout,train,medium,negative,phone,en,true,short,template_slot_generation_v1,2026-06-14
REST_INTENT_000079,"Hello, Do you have Wi-Fi for custmers? thanks!",GENERAL_INQUIRY,General question,Customer Support,train,low,neutral,phone,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000080,"Hey, I need to report poor service from staff. thanks?",STAFF_COMPLAINT,Complaint about staff behavior,Store Manager,train,medium,negative,website,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000081,"Hello, Do you have parking at the Main Street location? thanks.",GENERAL_INQUIRY,General question,Customer Support,train,low,neutral,counter,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000082,Need help now: The restaurant sent the wrong food in order R336252. please fix this,WRONG_ITEM,Wrong food/item received,Kitchen,train,medium,negative,phone,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000083,"Hello, I need a bulk order for an office lunch. thanks.",CATERING_INQUIRY,Bulk/catering order,Catering,validation,low,neutral,email,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000084,"Quick question, You forgot the cheesecake in my ordr. if possible!",MISSING_ITEM,Item missing from order,Kitchen / Takeout,train,medium,negative,website,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000085,"This is urgent, Why is my restaurant coupon invalid? please fix this!",PROMO_CODE_ISSUE,Coupon/promo not working,Promotions,train,low,negative,email,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000086,"Quick question, The app says arriving soon, but my food is still not here. please help",ORDER_DELAYED,Order is late,Delivery / Kitchen,train,medium,negative,chatbot,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000087,Can you help me? Can I speak with a real person? right now!,HUMAN_AGENT_REQUEST,Wants human support,Customer Support,test,medium,negative,phone,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000088,"The app says delivered, but I did not receive order R572114.",ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,test,high,negative,mobile_app,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000089,I need help. Can I speak with a real person? please!,HUMAN_AGENT_REQUEST,Wants human support,Customer Support,train,medium,negative,phone,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000090,I need help. The cashier was rude to me. if possible.,STAFF_COMPLAINT,Complaint about staff behavior,Store Manager,train,medium,negative,email,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000091,My app rewards were not added after order R485902.,LOYALTY_POINTS_ISSUE,Rewards points missing,Loyalty,train,low,negative,chatbot,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000092,"This is urgent, Can the front desk check for a missing credit card?",LOST_AND_FOUND,Customer lost item,Front Desk,train,medium,negative,chatbot,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000093,Can you help me? What dishes do you serve? please!,MENU_INQUIRY,Ask about menu,Menu,train,low,neutral,website,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000094,I never got my food from order R546585.,ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,test,high,negative,chatbot,en,true,uppercase,template_slot_generation_v1,2026-06-14
REST_INTENT_000095,"Hey, The delivery photo is not my address. right now!",ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,test,high,negative,email,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000096,"Please help, Please reserve seats for 2 at 8 pm. thanks!",RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,counter,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000097,URGENT: The food quality from Mesa restaurant was unacceptable.,FOOD_QUALITY_ISSUE,"Cold, stale, burnt, raw food",Food Quality,train,low,negative,chatbot,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000098,Track my order R679764 from the Tempe store.,ORDER_STATUS,Customer wants order status,Customer Support,train,low,neutral,email,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000099,I need help. How do I cancel a dinner reservation? today?,RESERVATION_CANCEL,Cancel booking,Reservations,train,low,neutral,counter,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000100,Can you help me? Please release my table reservation.,RESERVATION_CANCEL,Cancel booking,Reservations,train,low,neutral,phone,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000101,"Hi, I want to place a large ordr for 16 guests. right now?",CATERING_INQUIRY,Bulk/catering order,Catering,train,low,neutral,counter,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000102,Can you help me? Do you have Wi-Fi for customers? please?,GENERAL_INQUIRY,General question,Customer Support,train,low,neutral,mobile_app,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000103,I was charged twice for order R688023.,DOUBLE_CHARGED,Customer charged twice,Payments,validation,high,negative,chatbot,en,true,uppercase,template_slot_generation_v1,2026-06-14
REST_INTENT_000104,URGENT: Can we get a table tonight? please fix this?,RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,mobile_app,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000105,"Hello, Book a flight ticket for me. please help?",OUT_OF_SCOPE,Not related to restaurant,No ticket / fallback,validation,low,neutral,email,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000106,Can you help me? Refund me for the fries. right now.,REFUND_REQUEST,Customer wants refund,Refunds,test,medium,negative,website,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000107,"Hey, The paneer tikka quality was very poor. please.",FOOD_QUALITY_ISSUE,"Cold, stale, burnt, raw food",Food Quality,train,low,negative,chatbot,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000108,"Hi, I need to report poor service from staff. today",STAFF_COMPLAINT,Complaint about staff behavior,Store Manager,test,medium,negative,website,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000109,"Quick question, You forgot the sushi roll in my order. right now",MISSING_ITEM,Item missing from order,Kitchen / Takeout,train,medium,negative,email,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000110,URGENT: Can you tell me the price of ramen? please fix this,MENU_INQUIRY,Ask about menu,Menu,test,low,neutral,website,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000111,Can you help me? Can I change the number of guests? please help!,RESERVATION_MODIFY,Change booking,Reservations,train,low,neutral,counter,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000112,"Quick question, Do you offer catering for 6 people? please help",CATERING_INQUIRY,Bulk/catering order,Catering,train,low,neutral,counter,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000113,"Hey, My loyalty account is not updated. please!",LOYALTY_POINTS_ISSUE,Rewards points missing,Loyalty,validation,low,negative,mobile_app,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000114,"Quick question, What are your drive-thru? asap?",GENERAL_INQUIRY,General question,Customer Support,train,low,neutral,email,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000115,"Hey, Please refund my money for the missing food. asap?",REFUND_REQUEST,Customer wants refund,Refunds,train,medium,negative,chatbot,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000116,"Please help, The BOGO offer is not showing on my order. right now.",PROMO_CODE_ISSUE,Coupon/promo not working,Promotions,train,low,negative,email,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000117,Need help now: My order R799347 is late.,ORDER_DELAYED,Order is late,Delivery / Kitchen,train,medium,negative,website,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000118,I was charged twice for order R336961.,DOUBLE_CHARGED,Customer charged twice,Payments,train,high,negative,website,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000119,"This is urgent, What are your catering packages?",CATERING_INQUIRY,Bulk/catering order,Catering,train,low,neutral,phone,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000120,"Hello, I ordered brownie, but I got cola.",WRONG_ITEM,Wrong food/item received,Kitchen,train,medium,negative,phone,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000121,"Hello, Tell me the stock price of a company. please?",OUT_OF_SCOPE,Not related to restaurant,No ticket / fallback,train,low,neutral,phone,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000122,"Please help, Can you process a refund for this order? if possible!",REFUND_REQUEST,Customer wants refund,Refunds,train,medium,negative,mobile_app,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000123,I never got my food from order R510837.,ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,train,high,negative,email,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000124,"Hey, Do you have Wi-Fi for customers? today!",GENERAL_INQUIRY,General question,Customer Support,train,low,neutral,chatbot,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000125,"Hi, How do I get a refund? if possible?",REFUND_REQUEST,Customer wants refund,Refunds,train,medium,negative,chatbot,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000126,I need help. I never got my food from order R723118. please.,ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,train,high,negative,mobile_app,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000127,"Hello, Please share catering menu and pricing. asap.",CATERING_INQUIRY,Bulk/catering order,Catering,train,low,neutral,chatbot,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000128,"This is urgent, The food quality from Northside branch was unacceptable. ASAP.",FOOD_QUALITY_ISSUE,"Cold, stale, burnt, raw food",Food Quality,train,low,negative,phone,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000129,"Please help, Can you provide food for a corporate event? if possible!",CATERING_INQUIRY,Bulk/catering order,Catering,validation,low,neutral,phone,en,false,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000130,"This is urgent, My order R336081 is late.",ORDER_DELAYED,Order is late,Delivery / Kitchen,test,medium,negative,chatbot,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000131,"This is urgent, I see a double charge on my Amex card.",DOUBLE_CHARGED,Customer charged twice,Payments,train,high,negative,mobile_app,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000132,Need help now: My order never came to my door.,ORDER_NOT_RECEIVED,Customer did not receive order,Delivery,train,high,negative,website,en,true,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000133,The bag did not include my cheesecake.,MISSING_ITEM,Item missing from order,Kitchen / Takeout,train,medium,negative,chatbot,en,true,uppercase,template_slot_generation_v1,2026-06-14
REST_INTENT_000134,Can you check the status of order R609244?,ORDER_STATUS,Customer wants order status,Customer Support,validation,low,neutral,mobile_app,en,true,plain,template_slot_generation_v1,2026-06-14
REST_INTENT_000135,"This is urgent, Cancel my reservation for 6:30 pm. please fix this!",RESERVATION_CANCEL,Cancel booking,Reservations,train,low,neutral,chatbot,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000136,The restaurant did not mention allergens in the food. asap,FOOD_SAFETY_ISSUE,"Hair, illness, allergy, contamination",Food Safety,train,high,negative,counter,en,true,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000137,Need help now: Please modify my table reservation under Chris. ASAP?,RESERVATION_MODIFY,Change booking,Reservations,train,low,neutral,email,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000138,Need help now: The delivery person was disrespectful. ASAP.,STAFF_COMPLAINT,Complaint about staff behavior,Store Manager,train,medium,negative,website,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000139,"This is urgent, I want to schedule a table for my family. ASAP?",RESERVATION_CREATE,Book a table,Reservations,train,low,neutral,mobile_app,en,false,urgent,template_slot_generation_v1,2026-06-14
REST_INTENT_000140,I need help. I cannot complete payment for my food order. if possible!,PAYMENT_FAILED,Payment failed,Payments,train,medium,negative,mobile_app,en,true,polite,template_slot_generation_v1,2026-06-14
REST_INTENT_000141,"Hi, Please help with a coupon issue. if possible.",PROMO_CODE_ISSUE,Coupon/promo not working,Promotions,train,low,negative,chatbot,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000142,"Quick question, Do you serve vegetarian options? please",MENU_INQUIRY,Ask about menu,Menu,test,low,neutral,website,en,false,noisy,template_slot_generation_v1,2026-06-14
REST_INTENT_000143,"Quick question, Do you have parking at the Chandler location? today",GENERAL_INQUIRY,General question,Customer Support,train,low,neutral,email,en,false,noisy,template_slot_generation_v1,2026-06-14
